"SR_NO","TYPE","REGION","PROVINCE","MUNICIPALITY","TOTALLY DAMAGED","PARTIALLY DAMAGED","OVERALL TOTAL"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","CALUYA","1347","2885","4232"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","CULASI","2369","4460","6829"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","HAMTIC","36","419","455"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","LAUA-AN","1095","3352","4447"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","LIBERTAD","715","1380","2095"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","PANDAN","1122","4042","5164"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","PATNONGON","98","2170","2268"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","SAN JOSE","68","876","944"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","SAN REMEGIO","187","1536","1723"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","SEBASTE","885","1979","2864"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","SIBALOM","85","975","1060"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","TIBIAO","2505","2285","4790"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","TOBIAS FORNIER","15","88","103"
"SITREP NO. 40","TYPHOON","VI","ANTIQUE","VALDERAMA","546","1545","2091"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","CUARTERO","5611","297","5908"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","DAO","4815","2065","6880"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","DUMALAG","5486","840","6326"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","DUMARAO","5601","4305","9906"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","IVISAN","4050","1200","5250"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","JAMINDAN","6910","299","7209"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","MAAYON","4383","2923","7306"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","MAMBUSAO","4266","3444","7710"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","PANAY","6264","1240","7504"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","PANITAN","7974","0","7974"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","PILAR","4187","3521","7708"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","PONTEVEDRA","2075","565","2640"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","PRES. ROXAS","4237","662","4899"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","ROXAS CITY","13590","8056","21646"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","SAPI-AN","5023","365","5388"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","SIGMA","3818","2598","6416"
"SITREP NO. 40","TYPHOON","VI","CAPIZ","TAPAZ","9526","2393","11919"
"SITREP NO. 40","TYPHOON","VI","GUIMARAS","BUENAVISTA","166","49","215"
"SITREP NO. 40","TYPHOON","VI","GUIMARAS","JORDAN","4","5","9"
"SITREP NO. 40","TYPHOON","VI","GUIMARAS","NUEVA VALENCIA","33","5","38"
"SITREP NO. 40","TYPHOON","VI","GUIMARAS","SAN LORENZO","24","9","33"
"SITREP NO. 40","TYPHOON","VI","GUIMARAS","SIBUNAG","21","49","70"
"SITREP NO. 40","TYPHOON","VI","ILOILO","AJUY","7768","1446","9214"
"SITREP NO. 40","TYPHOON","VI","ILOILO","ALIMODIAN","20","236","256"
"SITREP NO. 40","TYPHOON","VI","ILOILO","ANILAO","1605","2913","4518"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BADIANGAN","132","1364","1496"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BALASAN","1542","5697","7239"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BANATE","1295","3969","5264"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BAROTAC NUEVO","339","2648","2987"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BAROTAC VIEJO","1924","5362","7286"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BATAD","3162","1402","4564"
"SITREP NO. 40","TYPHOON","VI","ILOILO","BINGAWAN","1700","1374","3074"
"SITREP NO. 40","TYPHOON","VI","ILOILO","CABATUAN","23","452","475"
"SITREP NO. 40","TYPHOON","VI","ILOILO","CALINOG","4059","5644","9703"
"SITREP NO. 40","TYPHOON","VI","ILOILO","CARLES","4950","1500","6450"
"SITREP NO. 40","TYPHOON","VI","ILOILO","CONCEPCION","5203","1375","6578"
"SITREP NO. 40","TYPHOON","VI","ILOILO","DINGLE","1320","2451","3771"
"SITREP NO. 40","TYPHOON","VI","ILOILO","DUEAS","881","3253","4134"
"SITREP NO. 40","TYPHOON","VI","ILOILO","DUMANGAS","313","2602","2915"
"SITREP NO. 40","TYPHOON","VI","ILOILO","ESTANCIA","4503","7296","11799"
"SITREP NO. 40","TYPHOON","VI","ILOILO","GUIMBAL","20","44","64"
